l,a,b,p,v,label
46.5323,58.0515,24.77,4.441416,0.0504774835,pouch
37.7495,51.6309,18.3952,4.441416,0.0504774835,pouch
44.6181,24.0078,12.0426,4.441416,0.0504774835,pouch
85.5853,2.64522,-14.0454,4.441416,0.0504774835,drawer
59.5092,5.53281,-20.8891,4.441416,0.0504774835,drawer
5.56579,5.95561,1.6421,4.441416,0.0504774835,knife
2.3178,1.88149,-1.0497,4.441416,0.0504774835,bag
32.9912,5.37149,-4.69008,4.441416,0.0504774835,bottle
67.4516,4.62794,-17.3184,4.441416,0.0504774835,drawer
68.5956,9.19095,-1.38718,4.441416,0.0504774835,bottle
88.7716,3.96327,-14.1796,4.441416,0.0504774835,drawer
64.6977,3.67549,-8.95714,4.441416,0.0504774835,stove
42.9318,4.84701,-5.89523,4.441416,0.0504774835,stove
30.4663,4.175,-5.22804,4.441416,0.0504774835,stove
52.4654,6.0927,-3.99851,4.441416,0.0504774835,stove
69.3201,5.76761,-13.9105,4.441416,0.0504774835,stove
94.4695,0.586723,-7.42069,4.441416,0.0504774835,drawer
73.529,4.87124,-13.5127,4.441416,0.0504774835,drawer
22.5793,41.0681,-63.6218,4.441416,0.0504774835,sunblock
65.8781,6.15899,-10.2636,4.441416,0.0504774835,stove
62.2806,42.5836,41.1248,4.441416,0.0504774835,sunblock
82.3446,2.57749,80.7338,4.441416,0.0504774835,plastic
47.7152,23.4637,31.0885,4.441416,0.0504774835,sunblock
64.941,45.3846,44.9321,4.441416,0.0504774835,sunblock
71.1916,25.4481,25.7319,4.441416,0.0504774835,sunblock
59.7952,21.0899,-1.21332,4.441416,0.0504774835,sunblock
59.2951,39.4454,22.6473,4.441416,0.0504774835,sunblock
65.2408,39.4556,59.5436,4.441416,0.0504774835,sunblock
49.8213,-18.9175,28.2237,4.441416,0.0504774835,repellent
49.8213,-18.9175,28.2237,4.441416,0.0504774835,repellent
36.4932,-29.6764,32.2207,4.441416,0.0504774835,repellent
58.8358,-27.8518,27.3852,4.441416,0.0504774835,repellent
59.6356,-34.6744,40.3167,4.441416,0.0504774835,repellent
44.5725,-16.2434,30.9032,4.441416,0.0504774835,repellent
77.6864,15.8446,25.0733,4.441416,0.0504774835,sunblock
33.9155,7.93298,-0.766524,4.441416,0.0504774835,burner
42.1002,60.4235,34.4187,4.441416,0.0504774835,brush
6.70121,12.2994,1.98916,4.441416,0.0504774835,lamp
49.1482,7.74304,-8.48897,4.441416,0.0504774835,burner
56.0722,9.26963,-24.1345,4.441416,0.0504774835,poncho
64.4731,7.33495,-42.5952,4.441416,0.0504774835,poncho
24.6896,8.45499,3.018,4.441416,0.0504774835,lamp
29.3583,30.384,5.58151,4.441416,0.0504774835,lamp
22.009,10.5659,9.52855,4.441416,0.0504774835,lamp
5.84376,12.3004,2.24167,4.441416,0.0504774835,pouch
54.3077,58.8443,15.1568,4.441416,0.0504774835,pouch
37.1386,46.8395,19.0102,4.441416,0.0504774835,pouch
23.9608,29.5019,4.72363,4.441416,0.0504774835,pouch
85.5513,2.55284,-14.8642,4.441416,0.0504774835,drawer
66.9024,6.37805,-20.8377,4.441416,0.0504774835,drawer
9.79845,8.5675,2.7451,4.441416,0.0504774835,knife
32.6136,6.3441,-8.01126,4.441416,0.0504774835,bottle
2.31734,1.93416,-0.23294,4.441416,0.0504774835,bag
59.9481,8.76211,2.80618,4.441416,0.0504774835,bottle
70.8156,8.75107,-1.61443,4.441416,0.0504774835,bottle
45.4746,5.46272,-3.12167,4.441416,0.0504774835,stove
43.4351,4.3487,-4.94237,4.441416,0.0504774835,stove
68.4429,7.62937,-7.05796,4.441416,0.0504774835,stove
94.7493,0.0561617,-6.58702,4.441416,0.0504774835,drawer
77.2776,3.97546,-12.4433,4.441416,0.0504774835,drawer
80.8247,8.69608,81.2678,4.441416,0.0504774835,plastic
88.1039,2.75579,-8.62619,4.441416,0.0504774835,drawer
52.1116,-41.279,42.5117,4.441416,0.0504774835,repellent
59.4806,42.5659,42.2629,4.441416,0.0504774835,sunblock
27.2774,39.217,-60.2636,4.441416,0.0504774835,sunblock
70.9458,34.6231,37.9962,4.441416,0.0504774835,sunblock
53.6082,37.5444,19.488,4.441416,0.0504774835,sunblock
52.0606,-32.8015,34.8834,4.441416,0.0504774835,repellent
67.4584,29.3926,25.7489,4.441416,0.0504774835,sunblock
38.307,-16.3533,23.3141,4.441416,0.0504774835,repellent
50.2245,-18.5326,26.1599,4.441416,0.0504774835,repellent
63.3783,25.2669,17.5745,4.441416,0.0504774835,repellent
57.5408,-27.8296,20.5308,4.441416,0.0504774835,repellent
57.5408,-27.8296,20.5308,4.441416,0.0504774835,repellent
57.9084,29.6831,36.16,4.441416,0.0504774835,sunblock
24.0767,8.12912,-2.08215,4.441416,0.0504774835,burner
42.8747,63.2862,32.3888,4.441416,0.0504774835,brush
60.1729,9.71747,-43.6285,4.441416,0.0504774835,poncho
17.3465,9.72857,4.13102,4.441416,0.0504774835,lamp
23.518,35.647,12.7431,4.441416,0.0504774835,lamp
27.7428,34.2021,4.98595,4.441416,0.0504774835,pouch
31.634,47.2391,17.9059,4.441416,0.0504774835,pouch
55.8795,0.106343,-10.1275,4.441416,0.0504774835,poncho
10.4756,20.2406,1.17268,4.441416,0.0504774835,pouch
84.1288,0.996281,-15.4289,4.441416,0.0504774835,poncho
39.4932,44.636,10.5405,4.441416,0.0504774835,pouch
46.582,46.0965,12.4954,4.441416,0.0504774835,pouch
85.9187,2.7753,-14.5525,4.441416,0.0504774835,drawer
10.4367,8.52082,1.63324,4.441416,0.0504774835,knife
38.5363,6.47216,-5.89721,4.441416,0.0504774835,bottle
2.26825,1.84976,-0.321289,4.441416,0.0504774835,bag
71.2885,8.28649,-2.46932,4.441416,0.0504774835,bottle
41.4013,4.62991,-4.06627,4.441416,0.0504774835,stove
88.9501,1.37852,-9.15695,4.441416,0.0504774835,drawer
79.6884,8.56091,79.2163,4.441416,0.0504774835,plastic
51.0816,-35.3494,35.0502,4.441416,0.0504774835,repellent
25.4653,34.6581,-52.2697,4.441416,0.0504774835,sunblock
59.4765,42.4101,39.289,4.441416,0.0504774835,sunblock
60.9427,44.9903,45.9765,4.441416,0.0504774835,sunblock
68.0146,31.2666,28.6366,4.441416,0.0504774835,sunblock
71.8497,-22.415,24.2142,4.441416,0.0504774835,repellent
33.0752,-20.6755,28.097,4.441416,0.0504774835,repellent
48.0471,-18.9902,28.7522,4.441416,0.0504774835,repellent
55.8741,33.3163,49.08,4.441416,0.0504774835,sunblock
51.4195,28.5201,38.8632,4.441416,0.0504774835,sunblock
60.3614,-28.315,19.4801,4.441416,0.0504774835,repellent
21.5481,7.86234,-6.06415,4.441416,0.0504774835,burner
42.73,62.7731,34.5949,4.441416,0.0504774835,brush
60.5691,7.44785,-35.9038,4.441416,0.0504774835,poncho
17.918,11.8568,4.56533,4.441416,0.0504774835,lamp
30.442,45.6782,11.8953,4.441416,0.0504774835,lamp
34.3559,50.6806,21.1682,4.441416,0.0504774835,pouch
16.2825,26.5011,0.769616,4.441416,0.0504774835,pouch
36.5171,41.5481,14.5806,4.441416,0.0504774835,pouch
74.6682,17.7627,-3.29354,4.441416,0.0504774835,pouch
3.83576,3.18455,-1.60438,4.441416,0.0504774835,bag
41.4057,7.3181,-5.99924,4.441416,0.0504774835,bottle
71.7968,9.21923,-5.52802,4.441416,0.0504774835,bottle
26.5297,4.88561,-1.40607,4.441416,0.0504774835,stove
43.4275,-34.8239,25.0662,4.441416,0.0504774835,repellent
63.4973,-15.487,8.51576,4.441416,0.0504774835,repellent
50.3251,-33.2945,44.366,4.441416,0.0504774835,repellent
29.5215,32.4179,-52.6073,4.441416,0.0504774835,sunblock
29.5215,32.4179,-52.6073,4.441416,0.0504774835,sunblock
61.565,38.0026,33.1201,4.441416,0.0504774835,sunblock
50.8844,34.9221,28.4939,4.441416,0.0504774835,sunblock
59.8867,-27.2835,21.7727,4.441416,0.0504774835,repellent
44.1685,6.62135,-1.23012,4.441416,0.0504774835,burner
14.9894,32.4311,8.15757,4.441416,0.0504774835,brush
32.0727,42.0492,20.5728,4.441416,0.0504774835,brush
27.5718,37.3967,22.9366,4.441416,0.0504774835,lamp
8.73256,9.02463,-5.31875,4.441416,0.0504774835,lamp
28.1996,39.2667,19.1891,4.441416,0.0504774835,brush
85.7262,1.7672,-12.1909,4.441416,0.0504774835,poncho
30.3353,38.4907,12.6204,4.441416,0.0504774835,brush
25.65,30.5398,17.2656,4.441416,0.0504774835,brush
21.5628,5.87825,1.79273,4.441416,0.0504774835,lamp
40.8188,54.8114,9.71294,4.441416,0.0504774835,lamp
22.3216,35.6903,17.1527,4.441416,0.0504774835,pouch
7.70289,20.0875,4.69996,4.441416,0.0504774835,pouch
51.1879,63.4099,16.4326,4.441416,0.0504774835,pouch
41.5544,54.2787,16.5499,4.441416,0.0504774835,pouch
50.4758,58.6173,15.5391,4.441416,0.0504774835,pouch
86.9259,2.22111,-14.1393,4.441416,0.0504774835,drawer
7.39412,5.42808,-3.9466,4.441416,0.0504774835,bag
8.37711,7.57075,-1.03947,4.441416,0.0504774835,knife
45.6985,6.80311,-1.65809,4.441416,0.0504774835,bottle
71.5138,8.98036,-5.51813,4.441416,0.0504774835,bottle
49.4027,-26.3749,32.9387,4.441416,0.0504774835,repellent
42.9244,-30.5369,27.5586,4.441416,0.0504774835,repellent
25.6394,4.64363,-1.95094,4.441416,0.0504774835,stove
25.2051,27.0628,-39.8946,4.441416,0.0504774835,sunblock
55.2176,-18.4842,23.4006,4.441416,0.0504774835,repellent
65.1769,39.1232,38.0824,4.441416,0.0504774835,sunblock
63.0674,43.9016,51.2484,4.441416,0.0504774835,sunblock
53.7754,40.332,28.2305,4.441416,0.0504774835,sunblock
59.9006,43.0163,55.7409,4.441416,0.0504774835,sunblock
52.3547,32.2935,38.6604,4.441416,0.0504774835,sunblock
76.5077,7.90303,74.9292,4.441416,0.0504774835,plastic
30.98,5.5103,-4.51374,4.441416,0.0504774835,stove
39.8132,5.78685,1.05896,4.441416,0.0504774835,stove
51.2913,9.61278,-1.02733,4.441416,0.0504774835,burner
58.2529,7.46306,-4.06218,4.441416,0.0504774835,burner
60.8807,46.5133,41.6746,4.441416,0.0504774835,sunblock
67.3437,8.60392,2.55931,4.441416,0.0504774835,burner
17.9816,31.6352,13.8119,4.441416,0.0504774835,brush
25.3844,37.3952,18.4038,4.441416,0.0504774835,brush
86.9995,1.42692,-10.2793,4.441416,0.0504774835,poncho
13.373,15.6755,0.99218,4.441416,0.0504774835,pouch
7.4863,18.5471,3.1507,4.441416,0.0504774835,lamp
49.9891,60.541,16.6217,4.441416,0.0504774835,pouch
45.485,56.832,20.7369,4.441416,0.0504774835,pouch
28.6121,37.8215,16.4094,4.441416,0.0504774835,pouch
37.1825,38.5288,20.7576,4.441416,0.0504774835,lamp
46.3753,56.085,9.66569,4.441416,0.0504774835,pouch
18.7104,9.69099,2.38806,4.441416,0.0504774835,lamp
11.6592,5.12644,2.15871,4.441416,0.0504774835,lamp
37.9004,6.78979,6.48935,4.441416,0.0504774835,lamp
23.4228,39.175,19.2195,4.441416,0.0504774835,pouch
59.6502,7.65768,-24.2984,4.441416,0.0504774835,poncho
87.1781,1.81704,-16.8645,12.639712,1.080962988,drawer
74.0145,5.41902,-27.9831,12.639712,1.080962988,drawer
4.29671,3.6209,-4.64497,12.639712,1.080962988,bag
65.3861,5.53519,-24.4161,10.519128,0.6735897675,drawer
2.75582,3.30451,-1.24748,10.519128,0.6735897675,knife
28.1041,5.73645,-6.88482,10.519128,0.6735897675,bottle
67.0285,9.24331,-8.38842,10.519128,0.6735897675,bottle
80.4711,6.59598,-16.0776,10.519128,0.6735897675,drawer
47.6773,7.12139,-9.61464,10.519128,0.6735897675,bottle
70.7785,7.42098,-16.1355,10.519128,0.6735897675,drawer
9.25578,6.86723,5.59509,10.519128,0.6735897675,bag
92.7048,1.90037,-8.4563,10.519128,0.6735897675,drawer
23.8671,4.72349,-3.21581,10.519128,0.6735897675,stove
83.9734,3.16042,-6.14161,10.519128,0.6735897675,drawer
37.9492,-28.8735,26.4913,10.519128,0.6735897675,repellent
50.49,-26.3229,20.4966,10.519128,0.6735897675,repellent
47.8924,-25.067,20.9762,10.519128,0.6735897675,repellent
39.0671,6.55726,-1.49965,10.519128,0.6735897675,stove
37.752,1.82941,-3.17614,10.519128,0.6735897675,stove
48.2852,-34.6499,30.6733,10.519128,0.6735897675,repellent
48.3108,-27.3194,16.7657,9.637436,0.5042129781,repellent
57.1666,-23.7677,22.2773,9.637436,0.5042129781,repellent
73.3603,-9.60046,-2.09415,9.637436,0.5042129781,repellent
54.2104,32.0323,19.0994,9.637436,0.5042129781,sunblock
57.9076,39.4888,34.3562,9.637436,0.5042129781,sunblock
61.1965,33.6312,32.4065,9.637436,0.5042129781,sunblock
48.4006,30.6509,24.5628,9.637436,0.5042129781,sunblock
58.3098,35.7757,28.888,9.637436,0.5042129781,sunblock
54.5436,6.75127,-0.885897,9.637436,0.5042129781,stove
80.7615,7.41857,79.4276,8.6515,0.3624364753,plastic
62.1842,40.6666,37.359,8.6515,0.3624364753,sunblock
50.0148,8.54462,2.1673,8.6515,0.3624364753,burner
62.4974,8.69234,-9.70054,8.6515,0.3624364753,burner
27.4578,36.2461,11.8944,8.6515,0.3624364753,brush
51.0225,9.84397,0.959591,8.6515,0.3624364753,burner
79.2417,2.6551,-12.3099,8.6515,0.3624364753,poncho
16.2963,20.278,0.29548,8.6515,0.3624364753,pouch
32.4933,45.0103,9.98397,8.6515,0.3624364753,pouch
25.9449,7.01735,6.35631,6.6792,0.1585697308,lamp
47.6151,57.3985,10.0528,6.6792,0.1585697308,pouch
14.6644,7.83702,-2.22178,6.6792,0.1585697308,lamp
55.9034,10.6905,-31.8358,6.6792,0.1585697308,poncho
17.0302,24.7313,17.5499,6.6792,0.1585697308,lamp
49.3274,58.2519,10.1994,6.6792,0.1585697308,pouch
93.4491,0.492722,-4.60278,6.6792,0.1585697308,drawer
7.39643,3.50154,-1.30625,6.6792,0.1585697308,bag
81.7515,2.69204,-13.5389,6.6792,0.1585697308,drawer
11.744,5.7689,1.8557,6.6792,0.1585697308,knife
46.1161,6.52399,4.17119,6.6792,0.1585697308,bottle
76.8191,6.34612,-3.72969,6.6792,0.1585697308,bottle
72.6066,2.51104,-15.0632,6.6792,0.1585697308,drawer
74.762,4.62592,-13.9556,6.6792,0.1585697308,drawer
56.9749,-13.067,11.2232,6.6792,0.1585697308,repellent
53.886,-15.627,12.6946,6.6792,0.1585697308,repellent
57.1765,5.05899,-4.56471,6.6792,0.1585697308,stove
74.5465,3.95083,-8.11572,6.6792,0.1585697308,stove
39.7202,4.4583,2.15304,6.6792,0.1585697308,stove
55.4479,4.91136,-3.46378,6.6792,0.1585697308,stove
92.7017,2.20544,-3.54329,6.6792,0.1585697308,stove
34.7922,7.76143,6.44325,6.6792,0.1585697308,stove
82.6316,3.78062,-6.19696,6.6792,0.1585697308,drawer
97.2636,0.61955,-1.38399,6.6792,0.1585697308,drawer
68.2224,3.14651,2.24382,6.6792,0.1585697308,stove
75.4154,4.86435,-9.41912,6.6792,0.1585697308,stove
93.1092,1.69738,-0.723977,6.6792,0.1585697308,stove
72.8458,27.6035,19.3796,6.6792,0.1585697308,sunblock
90.2859,8.78084,13.0506,6.6792,0.1585697308,sunblock
41.8541,8.46579,6.6261,6.6792,0.1585697308,burner
58.2012,49.163,13.7926,6.6792,0.1585697308,brush
26.8405,12.0245,8.72536,6.6792,0.1585697308,brush
65.3777,6.26543,8.44618,6.6792,0.1585697308,poncho
89.941,-2.45118,35.1112,6.6792,0.1585697308,plastic
18.158,19.7069,0.664019,6.507228,0.1481800786,pouch
61.5843,46.857,8.57436,6.507228,0.1481800786,pouch
48.0321,39.4692,2.72219,6.507228,0.1481800786,pouch
37.9192,6.01826,-3.43901,6.507228,0.1481800786,lamp
37.9192,6.01826,-3.43901,6.507228,0.1481800786,lamp
59.1667,7.96909,-25.9538,6.507228,0.1481800786,poncho
37.2315,31.3631,5.47806,6.507228,0.1481800786,pouch
88.1209,0.665652,-5.05222,6.507228,0.1481800786,poncho
18.4022,5.26096,-2.08291,6.507228,0.1481800786,lamp
12.8965,3.08443,2.43408,6.507228,0.1481800786,lamp
48.8791,20.8845,7.31285,6.507228,0.1481800786,lamp
58.6339,30.4581,8.61781,6.507228,0.1481800786,pouch
42.7604,12.8766,-5.23346,6.507228,0.1481800786,lamp
73.1373,5.19165,-6.94214,6.507228,0.1481800786,poncho
2.85464,2.02399,-1.72767,5.169356,0.0791922431,bag
32.5989,5.90071,-9.9713,5.169356,0.0791922431,bottle
63.9568,8.49514,-5.17331,5.169356,0.0791922431,bottle
