l,a,b,x,y,z,label
40.8188,54.8114,9.71294,0.00355727,0.00355727,0.003989,lamp
22.3216,35.6903,17.1527,0.00355727,0.00355727,0.003989,pouch
7.70289,20.0875,4.69996,0.00355727,0.00355727,0.003989,pouch
51.1879,63.4099,16.4326,0.00355727,0.00355727,0.003989,pouch
41.5544,54.2787,16.5499,0.00355727,0.00355727,0.003989,pouch
50.4758,58.6173,15.5391,0.00355727,0.00355727,0.003989,pouch
86.9259,2.22111,-14.1393,0.00355727,0.00355727,0.003989,drawer
7.39412,5.42808,-3.9466,0.00355727,0.00355727,0.003989,bag
8.37711,7.57075,-1.03947,0.00355727,0.00355727,0.003989,knife
45.6985,6.80311,-1.65809,0.00355727,0.00355727,0.003989,bottle
71.5138,8.98036,-5.51813,0.00355727,0.00355727,0.003989,bottle
49.4027,-26.3749,32.9387,0.00355727,0.00355727,0.003989,repellent
42.9244,-30.5369,27.5586,0.00355727,0.00355727,0.003989,repellent
25.6394,4.64363,-1.95094,0.00355727,0.00355727,0.003989,stove
25.2051,27.0628,-39.8946,0.00355727,0.00355727,0.003989,sunblock
55.2176,-18.4842,23.4006,0.00355727,0.00355727,0.003989,repellent
65.1769,39.1232,38.0824,0.00355727,0.00355727,0.003989,sunblock
63.0674,43.9016,51.2484,0.00355727,0.00355727,0.003989,sunblock
53.7754,40.332,28.2305,0.00355727,0.00355727,0.003989,sunblock
59.9006,43.0163,55.7409,0.00355727,0.00355727,0.003989,sunblock
52.3547,32.2935,38.6604,0.00355727,0.00355727,0.003989,sunblock
76.5077,7.90303,74.9292,0.00355727,0.00355727,0.003989,plastic
30.98,5.5103,-4.51374,0.00355727,0.00355727,0.003989,stove
39.8132,5.78685,1.05896,0.00355727,0.00355727,0.003989,stove
51.2913,9.61278,-1.02733,0.00355727,0.00355727,0.003989,burner
58.2529,7.46306,-4.06218,0.00355727,0.00355727,0.003989,burner
60.8807,46.5133,41.6746,0.00355727,0.00355727,0.003989,sunblock
67.3437,8.60392,2.55931,0.00355727,0.00355727,0.003989,burner
17.9816,31.6352,13.8119,0.00355727,0.00355727,0.003989,brush
25.3844,37.3952,18.4038,0.00355727,0.00355727,0.003989,brush
86.9995,1.42692,-10.2793,0.00355727,0.00355727,0.003989,poncho
13.373,15.6755,0.99218,0.00355727,0.00355727,0.003989,pouch
7.4863,18.5471,3.1507,0.00355727,0.00355727,0.003989,lamp
49.9891,60.541,16.6217,0.00355727,0.00355727,0.003989,pouch
45.485,56.832,20.7369,0.00355727,0.00355727,0.003989,pouch
28.6121,37.8215,16.4094,0.00355727,0.00355727,0.003989,pouch
37.1825,38.5288,20.7576,0.00355727,0.00355727,0.003989,lamp
46.3753,56.085,9.66569,0.00355727,0.00355727,0.003989,pouch
18.7104,9.69099,2.38806,0.00355727,0.00355727,0.003989,lamp
11.6592,5.12644,2.15871,0.00355727,0.00355727,0.003989,lamp
37.9004,6.78979,6.48935,0.00355727,0.00355727,0.003989,lamp
23.4228,39.175,19.2195,0.00355727,0.00355727,0.003989,pouch
59.6502,7.65768,-24.2984,0.00355727,0.00355727,0.003989,poncho
87.1781,1.81704,-16.8645,0.00876594,0.00876594,0.0140674,drawer
74.0145,5.41902,-27.9831,0.00876594,0.00876594,0.0140674,drawer
4.29671,3.6209,-4.64497,0.00876594,0.00876594,0.0140674,bag
65.3861,5.53519,-24.4161,0.00876594,0.00876594,0.00876594,drawer
2.75582,3.30451,-1.24748,0.00876594,0.00876594,0.00876594,knife
28.1041,5.73645,-6.88482,0.00876594,0.00876594,0.00876594,bottle
67.0285,9.24331,-8.38842,0.00876594,0.00876594,0.00876594,bottle
80.4711,6.59598,-16.0776,0.00876594,0.00876594,0.00876594,drawer
47.6773,7.12139,-9.61464,0.00876594,0.00876594,0.00876594,bottle
70.7785,7.42098,-16.1355,0.00876594,0.00876594,0.00876594,drawer
9.25578,6.86723,5.59509,0.00876594,0.00876594,0.00876594,bag
92.7048,1.90037,-8.4563,0.00876594,0.00876594,0.00876594,drawer
23.8671,4.72349,-3.21581,0.00876594,0.00876594,0.00876594,stove
83.9734,3.16042,-6.14161,0.00876594,0.00876594,0.00876594,drawer
37.9492,-28.8735,26.4913,0.00876594,0.00876594,0.00876594,repellent
50.49,-26.3229,20.4966,0.00876594,0.00876594,0.00876594,repellent
47.8924,-25.067,20.9762,0.00876594,0.00876594,0.00876594,repellent
39.0671,6.55726,-1.49965,0.00876594,0.00876594,0.00876594,stove
37.752,1.82941,-3.17614,0.00876594,0.00876594,0.00876594,stove
48.2852,-34.6499,30.6733,0.00876594,0.00876594,0.00876594,repellent
48.3108,-27.3194,16.7657,0.00656171,0.00876594,0.00876594,repellent
57.1666,-23.7677,22.2773,0.00656171,0.00876594,0.00876594,repellent
73.3603,-9.60046,-2.09415,0.00656171,0.00876594,0.00876594,repellent
54.2104,32.0323,19.0994,0.00656171,0.00876594,0.00876594,sunblock
57.9076,39.4888,34.3562,0.00656171,0.00876594,0.00876594,sunblock
61.1965,33.6312,32.4065,0.00656171,0.00876594,0.00876594,sunblock
48.4006,30.6509,24.5628,0.00656171,0.00876594,0.00876594,sunblock
58.3098,35.7757,28.888,0.00656171,0.00876594,0.00876594,sunblock
54.5436,6.75127,-0.885897,0.00656171,0.00876594,0.00876594,stove
80.7615,7.41857,79.4276,0.0063011,0.00656171,0.00876594,plastic
62.1842,40.6666,37.359,0.0063011,0.00656171,0.00876594,sunblock
50.0148,8.54462,2.1673,0.0063011,0.00656171,0.00876594,burner
62.4974,8.69234,-9.70054,0.0063011,0.00656171,0.00876594,burner
